,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
0,24090,07,11,17,24,31,32,12
1,24089,03,06,09,15,18,31,01
2,24088,03,08,10,17,30,32,10
3,24087,03,09,18,19,20,26,11
4,24086,17,19,20,23,25,31,02
5,24085,01,05,15,21,23,27,15
6,24084,01,08,10,13,19,29,13
7,24083,03,09,14,29,32,33,15
8,24082,01,02,13,16,17,29,16
9,24081,01,06,12,17,23,25,04
10,24080,06,11,12,27,29,30,13
11,24079,02,03,06,07,16,26,04
12,24078,05,09,14,21,22,26,12
13,24077,01,04,06,14,17,22,08
14,24076,03,22,24,27,29,32,15
15,24075,03,05,08,18,22,28,01
16,24074,07,08,10,22,24,32,07
17,24073,03,09,12,18,28,30,01
18,24072,01,14,20,21,23,27,06
19,24071,02,08,19,28,30,31,14
20,24070,04,13,18,20,22,28,05
21,24069,06,13,20,21,24,32,06
22,24068,01,02,07,19,20,21,01
23,24067,01,11,13,17,25,29,03
24,24066,08,09,12,22,26,32,13
25,24065,03,05,09,10,19,22,14
26,24064,06,08,17,18,28,30,05
27,24063,07,14,16,23,28,32,04
28,24062,01,07,10,16,18,27,16
29,24061,01,09,18,22,25,28,02
30,24060,01,02,06,10,22,28,15
31,24059,01,03,14,25,31,33,07
32,24058,08,12,13,17,27,29,13
33,24057,03,08,17,18,23,31,08
34,24056,05,18,20,24,25,26,06
35,24055,02,04,06,07,16,29,03
36,24054,08,13,20,25,31,32,03
37,24053,07,14,21,22,28,33,07
38,24052,07,10,11,15,17,21,03
39,24051,05,09,13,20,23,28,06
40,24050,01,03,07,10,22,33,02
41,24049,12,15,17,23,26,32,11
42,24048,02,09,15,19,26,28,02
43,24047,07,08,21,26,29,30,15
44,24046,02,06,10,11,17,29,15
45,24045,02,08,19,23,24,26,03
46,24044,02,06,17,25,32,33,06
47,24043,04,06,07,14,15,24,08
48,24042,02,04,05,14,26,32,14
49,24041,02,09,12,22,25,33,16
50,24040,11,14,18,19,23,26,02
51,24039,02,06,12,29,30,31,10
52,24038,08,10,18,23,27,31,02
53,24037,01,04,05,06,12,14,13
54,24036,02,08,09,12,21,31,02
55,24035,05,07,14,17,22,32,06
56,24034,02,09,12,19,21,31,04
57,24033,06,10,11,18,20,32,05
58,24032,01,03,04,11,12,21,16
59,24031,09,10,13,25,30,32,02
60,24030,01,08,22,25,29,33,10
61,24029,12,18,23,25,28,33,04
62,24028,03,07,08,11,18,19,05
63,24027,02,06,13,27,28,32,13
64,24026,04,07,18,19,20,25,06
65,24025,08,15,21,22,25,33,13
66,24024,03,07,21,24,26,30,10
67,24023,01,10,22,25,28,32,10
68,24022,02,09,11,14,18,26,06
69,24021,04,06,16,17,23,24,11
70,24020,03,08,12,14,17,33,08
71,24019,05,11,12,16,17,20,08
72,24018,06,15,17,24,28,29,16
73,24017,04,17,19,20,25,32,04
74,24016,07,12,20,24,32,33,04
75,24015,03,08,17,18,20,30,15
76,24014,01,02,10,22,24,25,13
77,24013,01,07,10,14,21,25,07
78,24012,01,03,07,18,22,28,15
79,24011,08,12,16,20,27,31,06
80,24010,11,16,20,21,23,24,04
81,24009,01,04,07,10,17,23,14
82,24008,08,20,21,23,27,30,13
83,24007,04,05,06,07,20,22,15
84,24006,07,18,20,21,26,32,05
85,24005,05,06,20,23,25,32,03
86,24004,09,13,17,18,21,27,04
87,24003,01,05,08,13,32,33,03
88,24002,04,09,10,17,19,20,09
89,24001,03,07,16,26,27,32,16
90,23151,01,15,16,20,25,27,05
91,23150,10,17,25,26,30,33,05
92,23149,02,10,19,24,26,33,15
93,23148,03,05,07,09,19,20,08
94,23147,05,06,14,16,19,32,12
95,23146,02,03,06,11,20,32,09
96,23145,07,10,21,22,23,24,11
97,23144,12,16,17,22,25,27,08
98,23143,05,07,09,16,23,30,15
99,23142,02,08,20,21,27,33,14
100,23141,01,08,11,12,21,23,03
101,23140,03,04,11,14,30,31,05
102,23139,12,14,19,21,27,31,11
103,23138,03,22,28,30,31,33,04
104,23137,03,12,17,19,23,27,11
105,23136,03,05,10,21,22,26,10
106,23135,05,06,11,13,28,30,07
107,23134,05,08,09,17,22,33,04
108,23133,04,05,10,14,22,25,03
109,23132,03,09,11,15,25,27,01
110,23131,06,07,14,20,26,32,01
111,23130,04,10,17,22,23,32,16
112,23129,08,09,12,17,32,33,04
113,23128,07,16,20,21,27,33,01
114,23127,03,08,19,22,26,32,14
115,23126,10,24,26,28,29,31,16
116,23125,11,14,15,27,30,33,04
117,23124,02,03,17,18,25,30,11
118,23123,10,13,15,22,29,32,15
119,23122,07,08,14,18,20,30,05
120,23121,02,12,16,25,30,31,12
121,23120,03,08,13,24,27,29,08
122,23119,01,02,03,19,21,28,15
123,23118,01,02,11,19,25,29,04
124,23117,02,11,14,17,18,28,08
125,23116,02,08,09,13,24,27,12
126,23115,02,07,16,21,26,27,16
127,23114,07,09,15,16,17,26,09
128,23113,01,02,13,18,25,27,03
129,23112,09,12,13,22,24,31,04
130,23111,05,06,12,17,20,33,09
131,23110,02,06,20,25,29,33,16
132,23109,06,08,10,13,16,28,13
133,23108,01,03,06,08,18,24,09
134,23107,03,07,18,25,29,33,14
135,23106,07,09,10,20,22,24,07
136,23105,01,03,05,26,30,32,16
137,23104,10,19,23,25,30,31,12
138,23103,05,06,13,24,25,29,15
139,23102,01,09,10,13,21,28,10
140,23101,01,05,09,15,18,26,04
141,23100,05,06,12,15,23,25,04
142,23099,09,11,14,19,27,33,05
143,23098,02,10,11,14,21,27,11
144,23097,01,09,14,19,29,30,15
145,23096,08,11,18,26,31,32,15
146,23095,03,08,16,17,22,26,11
147,23094,06,10,12,14,30,31,12
148,23093,10,21,24,25,27,32,07
149,23092,03,12,24,25,32,33,13
150,23091,16,20,22,26,30,32,16
151,23090,01,02,09,26,30,31,07
152,23089,08,13,15,27,28,31,11
153,23088,01,14,18,26,31,33,05
154,23087,02,09,15,17,28,33,01
155,23086,08,09,10,22,26,32,12
156,23085,11,18,23,24,31,33,13
157,23084,09,13,14,17,19,27,03
158,23083,07,10,12,16,17,30,12
159,23082,04,18,19,24,27,30,16
160,23081,01,11,15,16,22,31,15
161,23080,01,02,04,09,25,31,08
162,23079,05,06,09,12,21,22,07
163,23078,06,08,14,19,30,31,08
164,23077,07,09,14,22,26,27,01
165,23076,03,04,15,18,19,22,09
166,23075,13,15,24,28,30,31,01
167,23074,02,08,09,18,19,21,03
168,23073,01,03,15,16,25,32,10
169,23072,02,06,10,24,25,33,09
170,23071,05,12,15,19,24,26,06
171,23070,03,05,25,31,32,33,04
172,23069,12,14,17,20,21,26,02
173,23068,11,12,15,18,29,33,02
174,23067,01,03,12,19,28,32,14
175,23066,02,07,08,10,26,31,06
176,23065,02,14,17,20,26,33,14
177,23064,01,07,11,12,16,18,04
178,23063,04,08,17,20,22,27,13
179,23062,11,19,23,24,26,33,15
180,23061,01,04,06,11,12,22,15
181,23060,09,11,17,19,30,31,11
182,23059,02,06,13,22,27,32,06
183,23058,10,17,22,26,30,33,11
184,23057,02,05,10,17,24,32,03
185,23056,08,14,15,18,23,33,08
186,23055,03,04,20,23,27,32,13
187,23054,05,06,09,10,15,26,12
188,23053,01,07,14,20,27,30,15
189,23052,03,04,05,08,12,17,06
190,23051,22,26,29,30,32,33,14
191,23050,02,07,09,14,22,23,05
192,23049,05,07,14,23,25,27,02
193,23048,02,03,10,24,28,30,08
194,23047,05,07,14,23,31,33,07
195,23046,06,08,17,25,26,28,03
196,23045,03,06,12,21,27,28,04
197,23044,02,08,15,22,24,26,16
198,23043,05,08,12,20,24,28,10
199,23042,10,17,20,23,27,30,10
200,23041,01,06,12,13,15,24,06
201,23040,09,16,17,24,29,31,08
202,23039,02,03,09,13,19,28,09
203,23038,02,09,14,17,31,33,08
204,23037,08,23,25,26,29,31,12
205,23036,13,14,18,19,24,30,09
