0,1,2,3,4
,"2024092期

2024091期
2024090期
2024089期
2024088期
2024087期
2024086期
2024085期
2024084期
2024083期
2024082期",03081112182905,出球顺序08  29  12  11  18  03,
"开奖时间2024-08-11 周日本期销量370,253,242 元奖池累积2,335,461,640 元开奖倒计时倒计时获取中..开奖明细开机/试机号红蓝分区自定义号码",,,,
一等奖,14,"6,068,073元",,
二等奖,234,"79,877元",,
三等奖,2761,3000元,,
四等奖,115058,200元,,
五等奖,1806861,10元,,
六等奖,11459146,5元,,
一等奖,"浮动
一等奖奖金说明：        浮动奖金，最高1000万。",6+1,,
二等奖,"浮动
二等奖奖金说明：
                                                         浮动奖金，奖金总额为当期高奖级奖金的25%，单注奖金按注均分，单注最高限额封顶500万元。",6+0,,
三等奖,3000元,5+1,,
四等奖,200元,5+0,,
4+1,,,,
五等奖,10元,4+0,,
3+1,,,,
六等奖,5元,2+1,,
1+1,,,,
0+1,,,,
奇偶比,91:89,012路比,59:57:64,
大小比,94:86,四区比,48:38:52:42,
质合比,72:108,三区比,63:65:52,
双色球2024092期开奖结果,2024-08-11(日),,"370,253,242","2,335,461,640"
双色球2024091期开奖结果,2024-08-08(四),,"356,693,206","2,364,340,809"
双色球2024090期开奖结果,2024-08-06(二),,"350,631,612","2,300,572,454"
双色球2024089期开奖结果,2024-08-04(日),,"380,044,140","2,285,367,632"
双色球2024088期开奖结果,2024-08-01(四),,"354,401,976","2,291,698,840"
双色球2024087期开奖结果,2024-07-30(二),,"346,836,290","2,257,713,590"
双色球2024086期开奖结果,2024-07-28(日),,"369,996,636","2,515,631,484"
双色球2024085期开奖结果,2024-07-25(四),,"345,948,072","2,483,142,282"
双色球2024084期开奖结果,2024-07-23(二),,"347,931,710","2,441,854,586"
双色球2024083期开奖结果,2024-07-21(日),,"378,567,992","2,404,993,508"
